id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
610738,Rental unit in Genève · ★4.38 · 2 bedrooms · 2 beds · 1 bath,2388229,Alberto,,Commune de Genève,46.20118,6.13287,Entire home/apt,180,6,41,2023-12-06,0.30,5,360,8,
626512,Rental unit in Geneva · ★4.97 · 1 bedroom · 2 beds · 1 bath,3110118,Enrica,,Commune de Genève,46.2114,6.15107,Entire home/apt,160,4,39,2023-09-18,0.28,1,9,3,
626831,Rental unit in Geneva · ★4.33 · 1 bedroom · 1 bed · 1 bath,3111534,The Hamlet,,Commune de Genève,46.19875,6.14861,Entire home/apt,400,1,3,2017-06-05,0.03,17,0,0,
626971,Rental unit in Geneva · 1 bedroom · 1 bed · 1 bath,3111534,The Hamlet,,Commune de Genève,46.19871,6.14912,Entire home/apt,400,1,0,,,17,0,0,
628495,Rental unit in Genève · ★4.85 · 1 bedroom · 1 bed · 1 bath,3122142,Laura,,Commune de Genève,46.2028,6.1441,Entire home/apt,100,90,73,2023-04-08,0.53,1,239,1,
649023,Rental unit in Geneva · ★4.92 · 1 bedroom · 1 bed · 1 bath,2375758,Eliora Elena,,Commune de Genève,46.20175,6.14852,Entire home/apt,107,2,123,2023-12-07,0.90,1,156,29,
664917,Rental unit in Geneva · ★4.89 · 1 bedroom · 2 beds · 1 bath,3359333,Jean-Luc,,Commune de Genève,46.20542,6.12802,Entire home/apt,119,14,45,2023-07-13,0.33,4,56,4,
693976,Rental unit in Geneva · ★4.90 · 2 bedrooms · 1 bed · 1 bath,3550575,Ramon,,Commune de Genève,46.21716,6.13978,Entire home/apt,113,2,51,2017-02-09,0.37,1,0,0,
699903,Rental unit in Geneva · ★5.0 · 1 bedroom · 1 bed · 1 bath,3359333,Jean-Luc,,Commune de Genève,46.2067,6.12949,Entire home/apt,70,999,4,2023-02-05,0.08,4,89,1,
706264,Rental unit in Geneva · ★4.77 · 1 bedroom · 2 beds · 1 bath,3629403,Louis,,Commune de Genève,46.211998,6.150082,Entire home/apt,137,4,137,2023-12-08,1.05,1,265,28,
721025,Rental unit in Geneva · ★4.83 · 1 bedroom · 3 beds · 1 bath,3722546,Mimi,,Commune de Genève,46.19896,6.15499,Entire home/apt,165,2,31,2023-06-14,0.23,1,269,5,
728403,Rental unit in Geneva · ★4.74 · 1 bedroom · 2 beds · 1.5 baths,3778243,Lucia,,Commune de Genève,46.21404,6.12431,Entire home/apt,358,1,54,2022-08-28,0.40,4,0,0,
741176,Rental unit in Geneva · ★4.33 · 2 bedrooms · 3 beds · 1.5 baths,3566383,First,,Commune de Genève,46.19788,6.13691,Entire home/apt,355,4,24,2020-08-29,0.19,5,365,0,
